| Communications | Australia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 8.46 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 36 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 27.553 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 119 (2017 est.) |
| Telephone system: | general assessment: excellent domestic and international service; domestic satellite system; significant use of radiotelephone in areas of low population density; rapid growth of mobile telephones; 5G technologies in preparation and anticipation for 2020 (2018) |
| Telephone system: | domestic: more subscribers to mobile services than there are people; 90% of all mobile device sales are now smartphones, growth in mobile traffic brisk; 36 per 100 fixed-line, 119 per 100 mobile-cellular (2018) |
| Telephone system: | international: country code - 61; landing points forÂ more thanÂ 20 submarine cables including: the SeaMeWe-3 optical telecommunications submarine cable with links to Asia, the Middle East, and Europe; the INDIGO-Central, INDIGO West and ASC, North West Cable System, Australia-Papua New Guinea cable, CSCS, PPC-1, Gondwana-1, SCCN, Hawaiki, TGA, Basslink, Bass Strait-1, Bass Strait-2, JGA-S, with links to other Australian cities, New ZealandÂ and many countries in southeast Asia, US and Europe; the H2 Cable, AJC, Telstra Endeavor, Southern Cross NEXT with links to Japan, Hong Kong, and other Pacific Ocean countries as well as the US; satellite earth stations - 10 Intelsat (4 Indian Ocean and 6 Pacific Ocean), 2 Inmarsat, 2 Globalstar, 5 other (2019) |
| Broadcast media: | the Australian Broadcasting Corporation (ABC) runs multiple national and local radio networks and TV stations, as well as Australia Network, a TV service that broadcasts throughout the Asia-Pacific region and is the main public broadcaster; Special Broadcasting Service (SBS), a second large public broadcaster, operates radio and TV networks broadcasting in multiple languages; several large national commercial TV networks, a large number of local commercial TV stations, and hundreds of commercial radio stations are accessible; cable and satellite systems are available |
| Internet country code: | .au |
| Internet users: | total: 20,288,409 |
| Internet users: | percent of population: 88.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 7.923 million |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 34 (2017 est.) |
