| Communications | SAINT VINCENT AND THE GRENADINES |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 20,550 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 20 (July 2016 est.) |
| Telephones - mobile cellular: | total: 112,649 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 110 (July 2016 est.) |
| Telephone system: | general assessment: adequate islandwide, fully automatic telephone system |
| Telephone system: | domestic: fixed-line teledensity exceeds 20 per 100 persons and mobile-cellular teledensity is about 110 per 100 persons |
| Telephone system: | international: country code - 1-784; the East Caribbean Fiber System and Southern Caribbean Fiber submarine cables carry international calls; connectivity also provided by VHF/UHF radiotelephone from Saint Vincent to Barbados; SHF radiotelephone to Grenada and Saint Lucia; access to Intelsat earth station in Martinique through Saint Lucia (2016) |
| Broadcast media: | St. Vincent and the Grenadines Broadcasting Corporation operates 1 TV station and 5 repeater stations that provide near total coverage to the multi-island state; multi-channel cable TV service available; a partially government-funded national radio service broadcasts on 1 station and has 2 repeater stations; about a dozen privately owned radio stations and repeater stations (2007) |
| Internet country code: | .vc |
| Internet users: | total: 53,000 |
| Internet users: | percent of population: 51.8% (July 2016 est.) |
