| Communications | Saint Vincent and the Grenadines |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 20,111 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 20 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 116,161 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 114 (2017 est.) |
| Telephone system: | general assessment: adequate islandwide, fully automatic telephone system;Â broadband access; expand FttP (Fiber to the Home) markets; LTE launches; regulatory development (2018) |
| Telephone system: | domestic: fixed-line teledensity exceedsÂ 20 per 100 persons and mobile-cellular teledensity is about 114 per 100 persons (2018) |
| Telephone system: | international: country code - 1-784;Â landing points for the ECFS, CARCIPÂ and Southern Caribbean Fiber submarine cables providing connectivity to US and Caribbean Islands; connectivity also provided by VHF/UHF radiotelephone from Saint Vincent to Barbados; SHF radiotelephone to Grenada and Saint Lucia; access to Intelsat earth station in Martinique through Saint Lucia (2019) |
| Broadcast media: | St. Vincent and the Grenadines Broadcasting Corporation operates 1 TV station and 5 repeater stations that provide near total coverage to the multi-island state; multi-channel cable TV service available; a partially government-funded national radio service broadcasts on 1 station and has 2 repeater stations; about a dozen privately owned radio stations and repeater stations |
| Internet country code: | .vc |
| Internet users: | total: 53,000 |
| Internet users: | percent of population: 51.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 24,507 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 24 (2017 est.) |
