| Communications | TIMOR-LESTE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2014 est.) |
| Telephones - mobile cellular: | total: 676,900 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 56 (2014 est.) |
| Telephone system: | general assessment: rudimentary service in urban and some rural areas, which is expanding with the entrance of new competitors |
| Telephone system: | domestic: system suffered significant damage during the violence associated with independence; limited fixed-line services; mobile-cellular services have been expanding and are now available in urban and most rural areas |
| Telephone system: | international: country code - 670; international service is available (2012) |
| Broadcast media: | 1 public TV broadcast station broadcasting nationally and 1 public radio broadcaster with stations in each of the 13 administrative districts; 1 commercial TV broadcast station, 3 commercial radio stations, and roughly 20 community radio stations (2012) |
| Radio broadcast stations: | at least 21 (Timor-Leste has one national public broadcaster and 20 community and church radio stations - station frequency types NA) (2007) |
| Television broadcast stations: | 1 (Timor-Leste has one national public broadcaster) |
| Internet country code: | .tl |
| Internet users: | total: 12,000 |
| Internet users: | percent of population: 1.0% (2014 est.) |
