| Communications | American Samoa |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 10,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 18 (July 2016 est.) |
| Telephone system: | general assessment: good telex, telegraph, facsimile, and cellular telephone services; one of the most complete and modern telecommunications systems in the South Pacific Islands; all inhabited islands have telephone connectivity |
| Telephone system: | domestic: 18 per 100 fixed-line teledensity, domestic satellite system with 1 Comsat earth station |
| Telephone system: | international: country code - 1-684; landing points for the ASH, Southern Cross NEXTÂ and HawaikiÂ Â providingÂ connectivity to New Zealand, Australia, American Samoa, Hawaii, California, andÂ SAS connecting American Samoa with Samoa; satellite earth station - 1 (Intelsat-Pacific Ocean) (2019) |
| Broadcast media: | 3 TV stations; multi-channel pay TV services are available; about a dozen radio stations, some of which are repeater stations |
| Internet country code: | .as |
| Internet users: | total: 17,000 |
| Internet users: | percent of population: 31.3% (July 2016 est.) |
