| Communications | Lesotho |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 7,865 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 2,238,186 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 113.83 (2019 est.) |
| Telecommunication systems: | general assessment: mobile penetration remains below regional average; introduction of mobile broadband in the country & LTE technology, with 5G trials in early 2019;Â fixed-line teledensity is low; mobile-cellular telephone system is growth sector; regulator considering improving SIM card registration (2020) |
| Telecommunication systems: | domestic: fixed-line is 1 per 100 subscriptions; mobile-cellular service dominates the market with a subscribership now over 114 per 100 persons; rudimentary system consisting of a modest number of landlines, a small microwave radio relay system, and a small radiotelephone communication system (2019) |
| Telecommunication systems: | international: country code - 266; Internet accessibility has improved with several submarine fiber optic cables that land on African east and west coasts, but the country's land locked position makes access prices expensive; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 state-owned TV station and 2 state-owned radio stations; government controls most private broadcast media; satellite TV subscription service available; transmissions of multiple international broadcasters obtainable (2019) |
| Internet country code: | .ls |
| Internet users: | total: 569,114 |
| Internet users: | percent of population: 29% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 5,763 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
