| Communications | Montserrat |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,227 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 60.4 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 5,377 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 100.66 (2019 est.) |
| Telecommunication systems: | general assessment: telecom market one of growth in Caribbean and fully digitalized;Â high dependency on tourism and offshore financialÂ services; operators expand FttP (Fiber to Home) services; LTE launches and operators invest in mobile networks; effective competition in all sectors (2020) |
| Telecommunication systems: | domestic: fixed-line 60 per 100 and mobile-cellular teledensity 101 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 1-664; landing point for the ECFS optic submarine cable with links to 14 other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | Radio Montserrat, a public radio broadcaster, transmits on 1 station and has a repeater transmission to a second station; repeater transmissions from the GEM Radio Network of Trinidad and Tobago provide another 2 radio stations; cable and satellite TV available (2007) |
| Internet country code: | .ms |
| Internet users: | total: 2,860 |
| Internet users: | percent of population: 54.6% (July 2016 est.) |
