| Communications | Montserrat |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 57 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 5,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 95 (July 2016 est.) |
| Telephone system: | general assessment: modern and fully digitalized;Â high dependency on tourism and offshore financialÂ services; operators expand FttP (Fiber to Home) services; LTE launches and operators invest in mobile networks (2018) |
| Telephone system: | domestic: fixed-line 57 per 100 and mobile-cellular teledensityÂ 95 per 100 persons (2018) |
| Telephone system: | international: country code - 1-664; landing point for the ECFS optic submarine cable with links to 14 other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad (2019) |
| Broadcast media: | Radio Montserrat, a public radio broadcaster, transmits on 1 station and has a repeater transmission to a second station; repeater transmissions from the GEM Radio Network of Trinidad and Tobago provide another 2 radio stations; cable and satellite TV available (2007) |
| Internet country code: | .ms |
| Internet users: | total: 2,860 |
| Internet users: | percent of population: 54.6% (July 2016 est.) |
