| Communications | Comoros |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 17,212 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 446,868 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 55 (2017 est.) |
| Telephone system: | general assessment: sparse system of microwave radio relay and HF radiotelephone communication stations; telephone service limited to the islands' few towns (2018) |
| Telephone system: | domestic: fixed-line connections only about 2 per 100 persons; mobile-cellular usage over 55 per 100 persons; two companies, Comoros Telecom and Telma, provide domestic and international mobile service and wireless data (2018) |
| Telephone system: | international: country code - 269; landing point for the EASSy, Avassa, FLY-LION3,Â and Comoros Domestic Cable SystemÂ fiber-optic submarine cable system connecting East Africa with Europe; HF radiotelephone communications to Madagascar and Reunion (2019) |
| Broadcast media: | national state-owned TV station and a TV station run by Anjouan regional government; national state-owned radio; regional governments on the islands of Grande Comore and Anjouan each operate a radio station; a few independent and small community radio stations operate on the islands of Grande Comore and Moheli, and these two islands have access to Mayotte Radio and French TV |
| Internet country code: | .km |
| Internet users: | total: 63,084 |
| Internet users: | percent of population: 7.9% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,644 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
