| Communications | Saudi Arabia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5,276,773 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 15.69 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 40,532,610 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 120.52 (2019 est.) |
| Telecommunication systems: | general assessment: one of the most progressive telecom markets in the Middle East;Â mobile penetration high, with a saturated market; mobile operators competitive and meeting the demand for workers, students and citizens working from home; 5G launched, partnersÂ include ChineseÂ company Huawei;Â broadband is available with DSL, fiber, and wireless; mobile penetration is steep in Saudi Arabia (2020) |
| Telecommunication systems: | domestic: fixed-line 16 per 100 and mobile-cellular subscribership has been increasing rapidly to 121 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 966; landing points for the SeaMeWe-3, -4, -5, AAE-1, EIG, FALCON, FEA, IMEWE, MENA/Gulf Bridge International, SEACOM, SAS-1, -2, GBICS/MENA, and the Tata TGN-Gulf submarine cables providing connectivity to Europe, Africa, the Middle East, Asia, Southeast Asia and Australia; microwave radio relay to Bahrain, Jordan, Kuwait, Qatar, UAE, Yemen, and Sudan; coaxial cable to Kuwait and Jordan; satellite earth stations - 5 Intelsat (3 Atlantic Ocean and 2 Indian Ocean), 1 Arabsat, and 1 Inmarsat (Indian Ocean region) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | broadcast media are state-controlled; state-run TV operates 4 networks; Saudi Arabia is a major market for pan-Arab satellite TV broadcasters; state-run radio operates several networks; multiple international broadcasters are available |
| Internet country code: | .sa |
| Internet users: | total: 30,877,318 |
| Internet users: | percent of population: 93.31% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 6,821,873 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 21 (2018 est.) |
| Communications - note: | the innovative King Abdulaziz Center for World Culture (informally known as Ithra, meaning "enrichment") opened on 1 December 2017 in Dhahran, Eastern Region; its facilities include a grand library, several museums, an archive, an Idea Lab, a theater, a cinema, and an Energy Exhibit, all which are meant to provide visitors an immersive and transformative experience |
