| Communications | ALGERIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,404,709 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (July 2016 est.) |
| Telephones - mobile cellular: | total: 48,348,505 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 120 (July 2016 est.) |
| Telephone system: | general assessment: privatization of Algeria's telecommunications sector began in 2000; three mobile cellular licenses have been issued and, in 2005, a consortium led by Egypt's Orascom Telecom won a 15-year license to build and operate a fixed-line network in Algeria |
| Telephone system: | domestic: a limited network of fixed lines with a teledensity of less than 10 telephones per 100 persons has been offset by the rapid increase in mobile-cellular subscribership; in 2016, mobile-cellular teledensity was roughly 120 telephones per 100 persons |
| Telephone system: | international: country code - 213; landing point for the SEA-ME-WE-4 fiber-optic submarine cable system that provides links to Europe, the Middle East, and Asia; microwave radio relay to Italy, France, Spain, Morocco, and Tunisia; coaxial cable to Morocco and Tunisia (2016) |
| Broadcast media: | state-run Radio-Television Algerienne operates the broadcast media and carries programming in Arabic, Berber dialects, and French; use of satellite dishes is widespread, providing easy access to European and Arab satellite stations; state-run radio operates several national networks and roughly 40 regional radio stations (2009) |
| Internet country code: | .dz |
| Internet users: | total: 17,291,463 |
| Internet users: | percent of population: 42.9% (July 2016 est.) |
