| Communications | Germany |
| --- | --- |
| Telephones - main lines in use: | 45.6 million (2010) |
| Telephones - mobile cellular: | 105 million (2010) |
| Telephone system: | general assessment: Germany has one of the world's most technologically advanced telecommunications systems; as a result of intensive capital expenditures since reunification, the formerly backward system of the eastern part of the country, dating back to World War II, has been modernized and integrated with that of the western part |
| Telephone system: | domestic: Germany is served by an extensive system of automatic telephone exchanges connected by modern networks of fiber-optic cable, coaxial cable, microwave radio relay, and a domestic satellite system; cellular telephone service is widely available, expanding rapidly, and includes roaming service to many foreign countries |
| Telephone system: | international: country code - 49; Germany's international service is excellent worldwide, consisting of extensive land and undersea cable facilities as well as earth stations in the Inmarsat, Intelsat, Eutelsat, and Intersputnik satellite systems (2001) |
| Broadcast media: | a mixture of publicly-operated and privately-owned TV and radio stations; national and regional public broadcasters compete with nearly 400 privately-owned national and regional TV stations; more than 90% of households have cable or satellite TV; hundreds of radio stations broadcasting including multiple national radio networks, regional radio networks, and a large number of local radio stations (2008) |
| Internet country code: | .de |
| Internet hosts: | 21.729 million (2010) |
| Internet users: | 65.125 million (2009) |
