| Communications | CHAD |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 14,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2016 est.) |
| Telephones - mobile cellular: | total: 6,231,009 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 53 (July 2016 est.) |
| Telephone system: | general assessment: inadequate system of radiotelephone communication stations with high maintenance costs and low telephone density |
| Telephone system: | domestic: fixed-line connections for less than 1 per 100 persons coupled with mobile-cellular subscribership base of about 40 per 100 persons |
| Telephone system: | international: country code - 235; satellite earth station - 1 Intelsat (Atlantic Ocean) (2016) |
| Broadcast media: | 1 state-owned TV station; 2 privately-owned TV stations; state-owned radio network, Radiodiffusion Nationale Tchadienne (RNT), operates national and regional stations; over 10 private radio stations; some stations rebroadcast programs from international broadcasters (2017) |
| Internet country code: | .td |
| Internet users: | total: 592,623 |
| Internet users: | percent of population: 5.0% (July 2016 est.) |
