| Communications | Tonga |
| --- | --- |
| Telephones - main lines in use: | 31,000 (2010) |
| Telephones - mobile cellular: | 54,300 (2010) |
| Telephone system: | general assessment: competition between Tonga Telecommunications Corporation (TCC) and Shoreline Communications Tonga (SCT) is accelerating expansion of telecommunications; SCT granted approval to introduce high-speed digital service for telephone, Internet, and television while TCC has exclusive rights to operate the mobile-phone network; international telecom services are provided by government-owned Tonga Telecommunications International (TTI) |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity about 70 telephones per 100 persons; fully automatic switched network |
| Telephone system: | international: country code - 676; satellite earth station - 1 Intelsat (Pacific Ocean) (2009) |
| Broadcast media: | 2 state-owned television stations and 2 privately-owned stations; satellite and cable TV services are available; 2 state-owned and 3 privately-owned radio stations; Radio Australia broadcasts obtainable via a satellite feed (2009) |
| Internet country code: | .to |
| Internet hosts: | 20,847 (2010) |
| Internet users: | 8,400 (2009) |
