| Communications | Tonga |
| --- | --- |
| Telephones - main lines in use: | 30,000 (2012) |
| Telephones - mobile cellular: | 56,000 (2012) |
| Telephone system: | general assessment: competition between Tonga Telecommunications Corporation (TCC) and Shoreline Communications Tonga (SCT) is accelerating expansion of telecommunications; SCT granted approval to introduce high-speed digital service for telephone, Internet, and television while TCC has exclusive rights to operate the mobile-phone network; international telecom services are provided by government-owned Tonga Telecommunications International |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity about 80 telephones per 100 persons; fully automatic switched network |
| Telephone system: | international: country code - 676; satellite earth station - 1 Intelsat (Pacific Ocean) (2011) |
| Broadcast media: | 2 state-owned TV stations and 2 privately owned TV stations; satellite and cable TV services are available; 2 state-owned and 3 privately owned radio stations; Radio Australia broadcasts available via satellite (2009) |
| Internet country code: | .to |
| Internet hosts: | 5,367 (2012) |
| Internet users: | 8,400 (2009) |
