| Communications | United States |
| --- | --- |
| Telephones - main lines in use: | 139 million (2012) |
| Telephones - mobile cellular: | 310 million (2012) |
| Telephone system: | general assessment: a large, technologically advanced, multipurpose communications system |
| Telephone system: | domestic: a large system of fiber-optic cable, microwave radio relay, coaxial cable, and domestic satellites carries every form of telephone traffic; a rapidly growing cellular system carries mobile telephone traffic throughout the country |
| Telephone system: | international: country code - 1; multiple ocean cable systems provide international connectivity; satellite earth stations - 61 Intelsat (45 Atlantic Ocean and 16 Pacific Ocean), 5 Intersputnik (Atlantic Ocean region), and 4 Inmarsat (Pacific and Atlantic Ocean regions) (2011) |
| Broadcast media: | 4 major terrestrial TV networks with affiliate stations throughout the country, plus cable and satellite networks, independent stations, and a limited public broadcasting sector that is largely supported by private grants; overall, thousands of TV stations broadcasting; multiple national radio networks with many affiliate stations; while most stations are commercial, National Public Radio (NPR) has a network of some 600 member stations; satellite radio available; overall, nearly 15,000 radio stations operating (2008) |
| Internet country code: | .us |
| Internet hosts: | 505 million (2012); note - the US Internet total host count includes the following top level domain host addresses: .us, .com, .edu, .gov, .mil, .net, and .org |
| Internet users: | 245 million (2009) |
