| Communications | Sao Tome and Principe |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,614 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2.22 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 160,189 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 77.08 (2019 est.) |
| Telecommunication systems: | general assessment: local telephone network of adequate quality with most lines connected to digital switches; mobile cellular superior choice to landland; dial-up quality low; broadband expensive (2018) |
| Telecommunication systems: | domestic: fixed-line 2 per 100 and mobile-cellular teledensity 77 telephones per 100 persons (2019) |
| Telecommunication systems: | international: country code - 239; landing points for the Ultramar GE and ACE submarine cablesÂ from South AfricaÂ to over 20Â West African countries and Europe; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 government-owned TV station; 1 government-owned radio station; 3 independent local radio stations authorized in 2005 with 2 operating at the end of 2006; transmissions of multiple international broadcasters are available |
| Internet country code: | .st |
| Internet users: | total: 61,193 |
| Internet users: | percent of population: 29.93% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 1,557 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2018 est.) |
