| Communications | Sao Tome and Principe |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5,569 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 173,646 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 86 (2017 est.) |
| Telephone system: | general assessment: local telephone network of adequate quality with most lines connected to digital switches; mobile cellular superior choice to landland; dial-up quality low; broadband expensive (2018) |
| Telephone system: | domestic: fixed-line 3 per 100 and mobile-cellular teledensityÂ 86 telephones per 100 persons (2018) |
| Telephone system: | international: country code - 239; landing points for the Ultramar GE and ACE submarine cablesÂ from South AfricaÂ to over 20Â West African countries and Europe; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | 1 government-owned TV station; 1 government-owned radio station; 3 independent local radio stations authorized in 2005 with 2 operating at the end of 2006; transmissions of multiple international broadcasters are available |
| Internet country code: | .st |
| Internet users: | total: 50,000 |
| Internet users: | percent of population: 25.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,479 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2017 est.) |
