| Communications | Grenada |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 32,491 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 29 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 113,177 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 101 (2017 est.) |
| Telephone system: | general assessment: adequate, automatic, island-wide telephone system; lack of local competition but telecoms are a high contributor to overall GDP (2018) |
| Telephone system: | domestic: interisland VHF and UHF radiotelephone links; 29 per 100 for fixed-line and 101 per 100 for mobile-cellular (2018) |
| Telephone system: | international: country code - 1-473; landing points for theÂ ECFS, Southern Caribbean Fiber and CARCIPÂ submarine cables with links toÂ 13 Caribbean islands extending from the British Virgin Islands to Trinidad & Tobago including Puerto Rico and Barbados; SHF radiotelephone links to Trinidad and Tobago and Saint Vincent; VHF and UHF radio links to Trinidad (2019) |
| Broadcast media: | multiple publicly and privately owned television and radio stations; Grenada Information Service (GIS) is government-owned and provides television and radio services; the Grenada Broadcasting Network, jointly owned by the government and the Caribbean Communications Network of Trinidad and Tobago, operates a TV station and 2 radio stations; Meaningful Television (MTV) broadcasts island-wide and is part of a locally-owned media house, Moving Target Company, that also includes an FM radio station and a weekly newspaper; multi-channel cable TV subscription service is provided by Columbus Communications Grenada (FLOW GRENADA) and is available island wide; approximately 25 private radio stations also broadcast throughout the country (2019) |
| Internet country code: | .gd |
| Internet users: | total: 62,123 |
| Internet users: | percent of population: 55.9% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 22,235 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 20 (2017 est.) |
