| Communications | Ecuador |
| --- | --- |
| Telephones - main lines in use: | 2.004 million (2009) |
| Telephones - mobile cellular: | 13.635 million (2009) |
| Telephone system: | general assessment: generally elementary but being expanded |
| Telephone system: | domestic: fixed-line services provided by multiple telecommunications operators; fixed-line teledensity stands at about 14 per 100 persons; mobile-cellular use has surged and subscribership reached about 95 per 100 persons in 2009 |
| Telephone system: | international: country code - 593; landing points for the PAN-AM and South America-1 submarine cables that provide links to the west coast of South America, Panama, Colombia, Venezuela, and extending onward to Aruba and the US Virgin Islands in the Caribbean; satellite earth station - 1 Intelsat (Atlantic Ocean) (2009) |
| Broadcast media: | private broadcast media dominate; all stations are privately-owned except for 1 government-controlled station; multiple television networks, a number of national TV channels, and a large number of local channels; more than 400 radio stations; broadcast media required by law to give the government free air time to broadcast programs produced by the state (2007) |
| Internet country code: | .ec |
| Internet hosts: | 67,975 (2010) |
| Internet users: | 3.352 million (2009) |
