| Communications | VIETNAM |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5.9 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6 (July 2015 est.) |
| Telephones - mobile cellular: | total: 122 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 129 (July 2015 est.) |
| Telephone system: | general assessment: Vietnam is putting considerable effort into modernization and expansion of its telecommunication system |
| Telephone system: | domestic: all provincial exchanges are digitalized and connected to Hanoi, Da Nang, and Ho Chi Minh City by fiber-optic cable or microwave radio relay networks; main lines have been increased, and the use of mobile telephones is growing rapidly |
| Telephone system: | international: country code - 84; a landing point for the SEA-ME-WE-3, the C2C, and Thailand-Vietnam-Hong Kong submarine cable systems; the Asia-America Gateway submarine cable system, completed in 2009, provided new access links to Asia and the US; satellite earth stations - 2 Intersputnik (Indian Ocean region) (2015) |
| Broadcast media: | government controls all broadcast media exercising oversight through the Ministry of Information and Communication (MIC); government-controlled national TV provider, Vietnam Television (VTV), operates a network of 9 channels with several regional broadcasting centers; programming is relayed nationwide via a network of provincial and municipal TV stations; law limits access to satellite TV but many households are able to access foreign programming via home satellite equipment; government-controlled Voice of Vietnam, the national radio broadcaster, broadcasts on 6 channels and is repeated on AM, FM, and shortwave stations throughout Vietnam (2008) |
| Internet country code: | .vn |
| Internet users: | total: 49.741 million |
| Internet users: | percent of population: 52.7% (July 2015 est.) |
