| Communications | Vietnam |
| --- | --- |
| Telephones - main lines in use: | 10.175 million (2011) |
| Telephones - mobile cellular: | 127.318 million (2011) |
| Telephone system: | general assessment: Vietnam is putting considerable effort into modernization and expansion of its telecommunication system |
| Telephone system: | domestic: all provincial exchanges are digitalized and connected to Hanoi, Da Nang, and Ho Chi Minh City by fiber-optic cable or microwave radio relay networks; main lines have been increased, and the use of mobile telephones is growing rapidly |
| Telephone system: | international: country code - 84; a landing point for the SEA-ME-WE-3, the C2C, and Thailand-Vietnam-Hong Kong submarine cable systems; the Asia-America Gateway submarine cable system, completed in 2009, provided new access links to Asia and the US; satellite earth stations - 2 Intersputnik (Indian Ocean region) |
| Broadcast media: | government controls all broadcast media exercising oversight through the Ministry of Information and Communication (MIC); government-controlled national TV provider, Vietnam Television (VTV), operates a network of 9 channels with several regional broadcasting centers; programming is relayed nationwide via a network of provincial and municipal TV stations; law limits access to satellite TV but many households are able to access foreign programming via home satellite equipment; government-controlled Voice of Vietnam, the national radio broadcaster, broadcasts on 6 channels and is repeated on AM, FM, and shortwave stations throughout Vietnam (2008) |
| Internet country code: | .vn |
| Internet hosts: | 189,553 (2012) |
| Internet users: | 23.382 million (2009) |
