| Communications | Czechia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,473,846 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 13.78 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 13,213,279 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 123.54 (2019 est.) |
| Telecommunication systems: | general assessment: good telephone and Internet service; the Czech Republic has a sophisticated telecom market; mobile sector showing steady growth, but perhaps without enough competition, regulator makes progressÂ for 5G services;Â the govt. trying to stimulate competition,Â improve end-users pricing and step up quality; strong growth in cable and fiber sectors;Â fixed wireless broadband remains strong, with penetration among the highest in the EU (2020) |
| Telecommunication systems: | domestic: 14 per 100 fixed-line and mobile telephone usage increased to 124 per 100 mobile-cellular, the number of cellular telephone subscriptions now greatly exceeds the population (2019) |
| Telecommunication systems: | international: country code - 420; satellite earth stations - 6 (2 Intersputnik - Atlantic and Indian Ocean regions, 1 Intelsat, 1 Eutelsat, 1 Inmarsat, 1 Globalstar) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 22 TV stations operate nationally, with 17 of them in private hands; publicly operated Czech Television has 5 national channels; throughout the country, there are some 350 TV channels in operation, many through cable, satellite, and IPTV subscription services; 63 radio broadcasters are registered, operating over 80 radio stations, including 7 multiregional radio stations or networks; publicly operated broadcaster Czech Radio operates 4 national, 14 regional, and 4 Internet stations; both Czech Radio and Czech Television are partially financed through a license fee (2019) |
| Internet country code: | .cz |
| Internet users: | total: 8,622,750 |
| Internet users: | percent of population: 80.69% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 3,222,835 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 30 (2018 est.) |
