| Communications | Cook Islands |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 7,800 (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 75 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 11,000 (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 105 (July 2016 est.) |
| Telephone system: | general assessment: Telecom Cook Islands offers international direct dialing, Internet, email, and fax; individual islands are connected by a combination of satellite earth stations, microwave systems, and VHF and HF radiotelephone (2017) |
| Telephone system: | domestic: Â service is provided by small exchanges connected to subscribers by open-wire, cable, and fiber-optic cable; 75 per 100 fixed-line, 105 per 100 mobile-cellular (2017) |
| Telephone system: | international: country code - 682; satellite earth station - 1 Intelsat (Pacific Ocean); theÂ topography of the South Pacific region has made internet connectivity a seriousÂ issue for many of the remote islands; submarine fibre-optic networks are expensive to build and maintain, with capital costs prohibitive for the smaller island communities; some countries have to rely solely on geostationary satellites; as a result, bandwidth is limited and broadband prices are expensive (2017) |
| Broadcast media: | 1 privately owned TV station broadcasts from Rarotonga providing a mix of local news and overseas-sourced programs (2016) |
| Internet country code: | .ck |
| Internet users: | total: 5,160 (July 2016 est.) |
| Internet users: | percent of population: 54% (July 2016 est.) |
