| Communications | SOMALIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 57,200 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2014 est.) |
| Telephones - mobile cellular: | total: 5.5 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 53 (2014 est.) |
| Telephone system: | general assessment: the public telecommunications system was almost completely destroyed or dismantled during the civil war; private companies offer limited local fixed-line service, and private wireless companies offer service in most major cities, while charging the lowest international rates on the continent |
| Telephone system: | domestic: local cellular telephone systems have been established in Mogadishu and in several other population centers with one company beginning to provide 3G services in late 2012 |
| Telephone system: | international: country code - 252; Mogadishu is a landing point for the EASSy fiber-optic submarine cable system linking East Africa with Europe and North America (2010) |
| Broadcast media: | 2 private TV stations rebroadcast Al-Jazeera and CNN; Somaliland has 1 government-operated TV station and Puntland has 1 private TV station; the transitional government operates Radio Mogadishu; 1 SW and roughly 10 private FM radio stations broadcast in Mogadishu; several radio stations operate in central and southern regions; Somaliland has 1 government-operated radio station; Puntland has roughly a half dozen private radio stations; transmissions of at least 2 international broadcasters are available (2007) |
| Radio broadcast stations: | AM 0, FM 11 (also 1 station each in Puntland and Somaliland), shortwave 1 (in Mogadishu) (2001) |
| Television broadcast stations: | 4 (2 in Mogadishu and 2 in Hargeisa) (2001) |
| Internet country code: | .so |
| Internet users: | total: 157,500 |
| Internet users: | percent of population: 1.5% (2014 est.) |
