| Communications | Korea, South |
| --- | --- |
| Telephones - main lines in use: | 21.325 million (2008) |
| Telephones - mobile cellular: | 45.607 million (2008) |
| Telephone system: | general assessment: excellent domestic and international services featuring rapid incorporation of new technologies |
| Telephone system: | domestic: fixed-line and mobile-cellular services wide available with a combined telephone subscribership of roughly 140 per 100 persons; rapid assimilation of a full range of telecommunications technologies leading to a boom in e-commerce |
| Telephone system: | international: country code - 82; numerous submarine cables provide links throughout Asia, Australia, the Middle East, Europe, and US; satellite earth stations - 66 |
| Radio broadcast stations: | AM 96, FM 322, shortwave 1 (2008) |
| Television broadcast stations: | 57 (plus 103 cable operators and 119 relay cable operators) (2008) |
| Internet country code: | .kr |
| Internet hosts: | 301,270 (2009) |
| Internet users: | 37.476 million (2008) |
