| Communications | GUYANA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 154,057 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21 (July 2015 est.) |
| Telephones - mobile cellular: | total: 543,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 74 (July 2015 est.) |
| Telephone system: | general assessment: fair system for long-distance service; microwave radio relay network for trunk lines; many areas still lack fixed-line telephone services |
| Telephone system: | domestic: fixed-line teledensity is about 20 per 100 persons; mobile-cellular teledensity about 75 per 100 persons |
| Telephone system: | international: country code - 592; tropospheric scatter to Trinidad; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | government-dominated broadcast media; the National Communications Network (NCN) TV is state-owned; a few private TV stations relay satellite services; the state owns and operates 2 radio stations broadcasting on multiple frequencies capable of reaching the entire country; government limits on licensing of new private radio stations continue to constrain competition in broadcast media (2007) |
| Internet country code: | .gy |
| Internet users: | total: 281,000 |
| Internet users: | percent of population: 38.2% (July 2015 est.) |
