| Communications | CROATIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1.57 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 35 (2014 est.) |
| Telephones - mobile cellular: | total: 4.5 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 100 (2014 est.) |
| Telephone system: | general assessment: the telecommunications network has improved steadily since the mid-1990s, covering much of what were once inaccessible areas; local lines are digital |
| Telephone system: | domestic: fixed-line teledensity holding steady at about 40 per 100 persons; mobile-cellular telephone subscriptions exceed the population |
| Telephone system: | international: country code - 385; digital international service is provided through the main switch in Zagreb; Croatia participates in the Trans-Asia-Europe (TEL) fiber-optic project, which consists of 2 fiber-optic trunk connections with Slovenia and a fiber-optic trunk line from Rijeka to Split and Dubrovnik; the ADRIA-1 submarine cable provides connectivity to Albania and Greece (2011) |
| Broadcast media: | the national state-owned public broadcaster, Croatian Radiotelevision, operates 4 terrestrial TV networks, a satellite channel that rebroadcasts programs for Croatians living abroad, and 6 regional TV centers; 2 private broadcasters operate national terrestrial networks; roughly 25 privately owned regional TV stations; multi-channel cable and satellite TV subscription services are available; state-owned public broadcaster operates 3 national radio networks and 9 regional radio stations; 2 privately owned national radio networks and more than 170 regional, county, city, and community radio stations (2012) |
| Radio broadcast stations: | AM 16, FM 98, shortwave 5 (1999) |
| Television broadcast stations: | 36 (plus 321 repeaters) (1995) |
| Internet country code: | .hr |
| Internet users: | total: 2.9 million |
| Internet users: | percent of population: 65.1% (2014 est.) |
