| Communications | Belize |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 23,000 (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 227,000 (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 63 (July 2016 est.) |
| Telephone system: | general assessment: govt telecome company,Â BTL, continues to hold a monopoly in fixed-line services and mobile and broadband fixed-line teledensity;Â small market, underinvestment with lack of competion, yet BTL reports stable telecome revenue for fiscal 2017 (2017) |
| Telephone system: | domestic: mobile sector accounting for over 90% of all phone subscriptions; 6 per 100 fixed-line; mobile-cellular teledensity approaching 65 per 100 persons (2017) |
| Telephone system: | international: country code - 501; landing point for the Americas Region Caribbean Ring System (ARCOS-1) fiber-optic telecommunications submarine cable that provides links to South and Central America, parts of the Caribbean, and the US; satellite earth station - 8 (Intelsat - 2, unknown - 6); mid-2017 completing a submarine cable to Ambergris Caye; SEUL submarine cable connecting the mainland with Ambergris Caye completed (2017) |
| Broadcast media: | 8 privately owned TV stations; multi-channel cable TV provides access to foreign stations; about 25 radio stations broadcasting on roughly 50 different frequencies; state-run radio was privatized in 1998 (2009) |
| Internet country code: | .bz |
| Internet users: | total: 157,735 (July 2016 est.) |
| Internet users: | percent of population: 44.6% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 22,000 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 6 (2017 est.) |
