| Communications | Guinea |
| --- | --- |
| Telephones - main lines in use: | 22,000 (2009) |
| Telephones - mobile cellular: | 5.607 million (2009) |
| Telephone system: | general assessment: inadequate system of open-wire lines, small radiotelephone communication stations, and new microwave radio relay system |
| Telephone system: | domestic: Conakry reasonably well served; coverage elsewhere remains inadequate and large companies tend to rely on their own systems for nationwide links; fixed-line teledensity less than 1 per 100 persons; mobile-cellular subscribership is expanding and exceeded 50 per 100 persons in 2009 |
| Telephone system: | international: country code - 224; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| Broadcast media: | government maintains control over broadcast media; single state-run TV station; state-run radio broadcast station also operates several stations in rural areas; about 20 privately-owned radio stations, nearly all in Conakry, and about a dozen community radio stations; foreign television programming available via satellite and cable subscription services (2008) |
| Internet country code: | .gn |
| Internet hosts: | 14 (2010) |
| Internet users: | 95,000 (2009) |
