| Communications | Guinea |
| --- | --- |
| Telephones - main lines in use: | 18,000 (2011) |
| Telephones - mobile cellular: | 4.5 million (2011) |
| Telephone system: | general assessment: inadequate system of open-wire lines, small radiotelephone communication stations, and new microwave radio relay system |
| Telephone system: | domestic: Conakry reasonably well served; coverage elsewhere remains inadequate and large companies tend to rely on their own systems for nationwide links; fixed-line teledensity less than 1 per 100 persons; mobile-cellular subscribership is expanding and exceeds 40 per 100 persons |
| Telephone system: | international: country code - 224; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| Broadcast media: | government maintains marginal control over broadcast media; single state-run TV station; state-run radio broadcast station also operates several stations in rural areas; a steadily increasing number of privately-owned radio stations, nearly all in Conakry, and about a dozen community radio stations; foreign TV programming available via satellite and cable subscription services (2011) |
| Internet country code: | .gn |
| Internet hosts: | 15 (2012) |
| Internet users: | 95,000 (2009) |
