| Communications | Tonga |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 11,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 10 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 80,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 75 (July 2016 est.) |
| Telephone system: | general assessment: high speed Internet provided by 3 MNOs, which has subsequently allowed for better health care services,Â faster connections for education and growing e-commerce services; fixed-line teledensity has dropped given mobile subscriptions;Â mobile technology dominates given the island geography; satellite technology is widespread and is important especially in areas away from the city (2018) |
| Telephone system: | domestic: fixed-lineÂ 14 per 100 and mobile-cellular teledensityÂ 70 telephones per 100; fully automatic switched network (2018) |
| Telephone system: | international: country code - 676; satellite earth station - 1 Intelsat (Pacific Ocean); in 2013 undersea fibre-optic cable links Tonga to Fiji andÂ  Sydney (2017) |
| Broadcast media: | 1 state-owned TV station and 3 privately owned TV stations; satellite and cable TV services are available; 1 state-owned andÂ 5 privately owned radio stations; Radio Australia broadcasts available via satellite (2019) |
| Internet country code: | .to |
| Internet users: | total: 42,552 |
| Internet users: | percent of population: 40% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3,000 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2017 est.) |
