| Communications | MAURITANIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 51,400 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2014 est.) |
| Telephones - mobile cellular: | total: 3.8 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 107 (2014 est.) |
| Telephone system: | general assessment: limited system of cable and open-wire lines, minor microwave radio relay links, and radiotelephone communications stations; mobile-cellular services expanding rapidly |
| Telephone system: | domestic: Mauritel, the national telecommunications company, was privatized in 2001 but remains the monopoly provider of fixed-line services; fixed-line teledensity 2 per 100 persons; mobile-cellular network coverage extends mainly to urban areas with a teledensity of roughly 106 per 100 persons; mostly cable and open-wire lines; a domestic satellite telecommunications system links Nouakchott with regional capitals |
| Telephone system: | international: country code - 222; satellite earth stations - 3 (1 Intelsat - Atlantic Ocean, 2 Arabsat); fiber-optic and asymmetric digital subscriber line cables for Internet access (2009) |
| Broadcast media: | one state-run TV (Television de Mauritanie) and one state-run radio network (Radio de Mauritanie); Television de Mauritanie has three channels, Al Mahadra station (for Islamic content) and Channels 1 and 2, which cover news, sports, and other programming; Radio de Mauritanie runs 12 regional stations, as well as a radio station for youth and the Holy Quran station; five private TV channels and five private radio stations also broadcast from Mauritania; six private international radio stations broadcast in Mauritania on the FM band; with satellite connections, Mauritanians also have access to hundreds of foreign TV channels (2013) |
| Radio broadcast stations: | AM 1, FM 14, shortwave 1 (2001) |
| Television broadcast stations: | 1 (2002) |
| Internet country code: | .mr |
| Internet users: | total: 402,000 |
| Internet users: | percent of population: 11.4% (2014 est.) |
