| Communications | Burundi |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 23,409 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 5,920,612 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 52 (2017 est.) |
| Telephone system: | general assessment: withÂ the great population density Burundi remains one of the mostÂ alluring telecom markets in Africa for investors; the government in early 2018Â began the Burundi Broadband project, whichÂ plans to deliver nationwide connectivity by 2025; mobile operators have launched 3G and LTE mobile services to capitalize on theÂ expanding demand for Internet access (2018) |
| Telephone system: | domestic: telephone density one of the lowest in the world; fixed-line connections stand at well less than 1 per 100 persons; mobile-cellular usage is approaching 52 per 100 persons (2018) |
| Telephone system: | international: country code - 257; satellite earth station - 1 Intelsat (Indian Ocean); the government, supported by the Word Bank, has backed a joint venture with a number of prominent telcoms to build a national fiber backbone network, offering onward connectivity to submarine cable infrastructure landings in Kenya and Tanzania (2019) |
| Broadcast media: | state-controlled Radio Television Nationale de Burundi (RTNB) operates a TV station and a national radio network; 3 private TV stations and about 10 privately owned radio stations; transmissions of several international broadcasters are available in Bujumbura (2019) |
| Internet country code: | .bi |
| Internet users: | total: 574,236 |
| Internet users: | percent of population: 5.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3,914 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
