| Communications | KENYA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 72,801 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2016 est.) |
| Telephones - mobile cellular: | total: 38,982,188 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 83 (July 2016 est.) |
| Telephone system: | general assessment: the mobile-cellular system is generally good, especially is urban areas; fixed-line telephone system is small and inefficient; trunks are primarily microwave radio relay; business data commonly transferred by a very small aperture terminal (VSAT) system |
| Telephone system: | domestic: sole fixed-line provider, Telkom Kenya, privatized in 2013 and is now 60% owned by Helios Investment Partners, a London-based equity fund, and 40% owned by the Kenyan Government; multiple providers in the mobile-cellular segment of the market fostering a boom in mobile-cellular telephone usage with teledensity reaching 83 per 100 persons in 2016 |
| Telephone system: | international: country code - 254; landing point for the EASSy, TEAMS and SEACOM fiber-optic submarine cable systems; satellite earth stations - 4 Intelsat (2016) |
| Broadcast media: | about a half-dozen large-scale privately owned media companies with TV and radio stations, as well as a state-owned TV broadcaster, provide service nationwide; satellite and cable TV subscription services available; state-owned radio broadcaster operates 2 national radio channels and provides regional and local radio services in multiple languages; many private radio stations broadcast on a national level along with over 100 private and non-profit provincial stations broadcasting in local languages; transmissions of several international broadcasters available (2014) |
| Internet country code: | .ke |
| Internet users: | total: 12,165,597 |
| Internet users: | percent of population: 26.0% (July 2016 est.) |
