| Communications | Faroe Islands |
| --- | --- |
| Telephones - main lines in use: | 20,200 (2010) |
| Telephones - mobile cellular: | 59,400 (2010) |
| Telephone system: | general assessment: good international communications; good domestic facilities |
| Telephone system: | domestic: conversion to digital system completed in 1998; both NMT (analog) and GSM (digital) mobile telephone systems are installed |
| Telephone system: | international: country code - 298; satellite earth stations - 1 Orion; 1 fiber-optic submarine cable to the Shetland Islands, linking the Faroe Islands with Denmark and Iceland; fiber-optic submarine cable connection to Canada-Europe cable |
| Broadcast media: | 1 publicly-owned TV station; the Faroese telecommunications company distributes local and international channels through its digital terrestrial network; publicly-owned radio station supplemented by 2 privately-owned stations broadcasting over multiple frequencies (2008) |
| Internet country code: | .fo |
| Internet hosts: | 8,936 (2010) |
| Internet users: | 37,500 (2009) |
