| Communications | Egypt |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 8,885,103 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8.73 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 96,657,295 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 94.97 (2019 est.) |
| Telecommunication systems: | general assessment: one of theÂ biggest fixed-line systems in Africa and the Arab region; one of the largest mobile telecom markets in North Africa; penetration rate of about 94%; LTE launch in late 2017, which greatlyÂ helped the capabilities of mobile broadband services, and the beginningÂ of developing theÂ 5G network; recent govt. efforts to fund next generation networks, develop technology parks and extend broadband availability (2020) |
| Telecommunication systems: | domestic: fixed-line 9 per 100, mobile-cellular 95 per 100 (2019) |
| Telecommunication systems: | international: country code - 20; landing points for Aletar, Africa-1, FEA, Hawk, IMEWE,Â and the SEA-ME-WE-3 & 4Â submarine cable networks linking to Asia, Africa, the Middle East, and AustraliaÂ ; satellite earth stations - 4 (2 Intelsat - Atlantic Ocean and Indian Ocean, 1 Arabsat, and 1 Inmarsat); tropospheric scatter to Sudan; microwave radio relay to Israel; a participant in Medarabtel (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | mix of state-run and private broadcast media; state-run TV operates 2 national and 6 regional terrestrial networks, as well as a few satellite channels; dozens of private satellite channels and a large number of Arabic satellite channels are available for free; some limited satellite services are also available via subscription; state-run radio operates about 30 stations belonging to 8 networks; privately-owned radio includes 8 major stations, 4 of which belong to 1 network (2019) |
| Internet country code: | .eg |
| Internet users: | total: 46,644,728 |
| Internet users: | percent of population: 46.92% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 6,579,762 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 7 (2018 est.) |
| Communications - note: | one of the largest and most famous libraries in the ancient world was the Great Library of Alexandria in Egypt (founded about 295 B.C., it may have survived in some form into the 5th century A.D.); seeking to resurrect the great center of learning and communication, the Egyptian Government in 2002 inaugurated the Bibliotheca Alexandrina, an Egyptian National Library on the site of the original Great Library, which commemorates the original archive and also serves as a center of cultural and scientific excellence |
