| Communications | Egypt |
| --- | --- |
| Telephones - main lines in use: | 12.011 million (2008) |
| Telephones - mobile cellular: | 41.272 million (2008) |
| Telephone system: | general assessment: large system; underwent extensive upgrading during 1990s and is reasonably modern; Telecom Egypt, the landline monopoly, has been increasing service availability and in 2008 fixed-line density stood at 15 per 100 persons; as of 2008 there were three mobile-cellular networks with a total of more than 41 million subscribers, roughly 50 per 100 persons |
| Telephone system: | domestic: principal centers at Alexandria, Cairo, Al Mansurah, Ismailia, Suez, and Tanta are connected by coaxial cable and microwave radio relay |
| Telephone system: | international: country code - 20; landing point for both the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cable networks; linked to the international submarine cable FLAG (Fiber-Optic Link Around the Globe); satellite earth stations - 4 (2 Intelsat - Atlantic Ocean and Indian Ocean, 1 Arabsat, and 1 Inmarsat); tropospheric scatter to Sudan; microwave radio relay to Israel; a participant in Medarabtel (2008) |
| Radio broadcast stations: | AM 42 (plus 15 repeaters), FM 11, shortwave 3 (1999) |
| Television broadcast stations: | 98 (September 1995) |
| Internet country code: | .eg |
| Internet hosts: | 177,443 (2009) |
| Internet users: | 11.414 million (2008) |
