| Communications | EGYPT |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 6.32 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 7 (2014 est.) |
| Telephones - mobile cellular: | total: 95.3 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 110 (2014 est.) |
| Telephone system: | general assessment: underwent extensive upgrading during 1990s; principal centers at Alexandria, Cairo, Al Mansurah, Ismailia, Suez, and Tanta are connected by coaxial cable and microwave radio relay |
| Telephone system: | domestic: largest fixed-line system in the region; multiple mobile-cellular networks with a near 100-percent penetration of the market |
| Telephone system: | international: country code - 20; landing point for Aletar, the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cable networks, Link Around the Globe (FLAG) Falcon and FLAG FEA; satellite earth stations - 4 (2 Intelsat - Atlantic Ocean and Indian Ocean, 1 Arabsat, and 1 Inmarsat); tropospheric scatter to Sudan; microwave radio relay to Israel; a participant in Medarabtel (2015) |
| Broadcast media: | mix of state-run and private broadcast media; state-run TV operates 2 national and 6 regional terrestrial networks, as well as a few satellite channels; about 20 private satellite channels and a large number of Arabic satellite channels are available via subscription; state-run radio operates about 70 stations belonging to 8 networks; 2 privately owned radio stations operational (2008) |
| Radio broadcast stations: | AM 42 (plus 15 repeaters), FM 22, shortwave 1 (2010) |
| Television broadcast stations: | 64 (2010) |
| Internet country code: | .eg |
| Internet users: | total: 42 million |
| Internet users: | percent of population: 48.3% (2014 est.) |
