| Communications |
| --- | --- |
| Telephones - main lines in use: | 3,971,500 (December 1998) |
| Telephones - mobile cellular: | 380,000 (1999) |
| Telephone system: | general assessment: large system; underwent extensive upgrading during 1990s and is reasonably modern; Internet access and cellular service are available |
| Telephone system: | domestic: principal centers at Alexandria, Cairo, Al Mansurah, Ismailia, Suez, and Tanta are connected by coaxial cable and microwave radio relay |
| Telephone system: | international: satellite earth stations - 2 Intelsat (Atlantic Ocean and Indian Ocean), 1 Arabsat, and 1 Inmarsat; 5 coaxial submarine cables; tropospheric scatter to Sudan; microwave radio relay to Israel; a participant in Medarabtel and a signatory to Project Oxygen (a global submarine fiber-optic cable system) |
| Radio broadcast stations: | AM 42 (plus 15 repeaters), FM 14, shortwave 3 (1999) |
| Radios: | 20.5 million (1997) |
| Television broadcast stations: | 98 (September 1995) |
| Televisions: | 7.7 million (1997) |
| Internet country code: | .eg |
| Internet Service Providers (ISPs): | 50 (2000) |
| Internet users: | 300,000 (2000) |
