| Communications | COLOMBIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 7.2 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 16 (2014 est.) |
| Telephones - mobile cellular: | total: 55.3 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 120 (2014 est.) |
| Telephone system: | general assessment: modern system in many respects with a nationwide microwave radio relay system, a domestic satellite system with 41 earth stations, and a fiber-optic network linking 50 cities; telecommunications sector liberalized during the 1990s; multiple providers of both fixed-line and mobile-cellular services |
| Telephone system: | domestic: fixed-line connections stand at about 15 per 100 persons; mobile cellular telephone subscribership is about 100 per 100 persons; competition among cellular service providers is resulting in falling local and international calling rates and contributing to the steep decline in the market share of fixed-line services |
| Telephone system: | international: country code - 57; multiple submarine cable systems provide links to the US, parts of the Caribbean, and Central and South America; satellite earth stations - 10 (6 Intelsat, 1 Inmarsat, 3 fully digitalized international switching centers) (2011) |
| Broadcast media: | combination of state-owned and privately owned broadcast media provide service; more than 500 radio stations and many national, regional, and local TV stations (2007) |
| Radio broadcast stations: | AM 454, FM 34, shortwave 27 (1999) |
| Television broadcast stations: | 60 (1997) |
| Internet country code: | .co |
| Internet users: | total: 24.3 million |
| Internet users: | percent of population: 52.4% (2014 est.) |
