| Communications | GAMBIA, THE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 55,800 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (2014 est.) |
| Telephones - mobile cellular: | total: 2.3 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 119 (2014 est.) |
| Telephone system: | general assessment: adequate microwave radio relay and open-wire network; state-owned Gambia Telecommunications partially privatized in 2007 |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity, aided by multiple mobile-cellular providers, is roughly 80 per 100 persons |
| Telephone system: | international: country code - 220; microwave radio relay links to Senegal and Guinea-Bissau; a landing station for the Africa Coast to Europe (ACE) undersea fiber-optic cable is scheduled for completion in 2011; satellite earth station - 1 Intelsat (Atlantic Ocean) (2011) |
| Broadcast media: | state-owned, single-channel TV service; state-owned radio station and 4 privately owned radio stations; transmissions of multiple international broadcasters are available, some via shortwave radio; cable and satellite TV subscription services are obtainable in some parts of the country (2007) |
| Radio broadcast stations: | AM 3, FM 2, shortwave 0 (2001) |
| Television broadcast stations: | 1 (government-owned) (1997) |
| Internet country code: | .gm |
| Internet users: | total: 274,000 |
| Internet users: | percent of population: 14.2% (2014 est.) |
