| Communications | Gambia, The |
| --- | --- |
| Telephones - main lines in use: | 49,000 (2009) |
| Telephones - mobile cellular: | 1.433 million (2009) |
| Telephone system: | general assessment: adequate microwave radio relay and open-wire network; state-owned Gambia Telecommunications partially privatized in 2007 |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity, aided by multiple mobile-cellular providers, approached 85 per 100 persons in 2009 |
| Telephone system: | international: country code - 220; microwave radio relay links to Senegal and Guinea-Bissau; a landing station for the Africa Coast to Europe (ACE) undersea fiber-optic cable is scheduled for completion in 2011; satellite earth station - 1 Intelsat (Atlantic Ocean) (2009) |
| Broadcast media: | state-owned, single-channel TV service; state-owned radio station and 4 privately-owned radio stations; transmissions of multiple international broadcasters are available, some via shortwave radio; foreign cable and satellite TV subscription services are obtainable in some parts of the country (2007) |
| Internet country code: | .gm |
| Internet hosts: | 1,453 (2010) |
| Internet users: | 130,100 (2009) |
