| Communications | MALTA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 234,383 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 56 (July 2016 est.) |
| Telephones - mobile cellular: | total: 539,589 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 130 (July 2016 est.) |
| Telephone system: | general assessment: automatic system featuring submarine cable and microwave radio relay between islands |
| Telephone system: | domestic: combined fixed-line and mobile-cellular subscribership exceeds 185 per 100 persons |
| Telephone system: | international: country code - 356; submarine cable connects to Italy; satellite earth station - 1 Intelsat (Atlantic Ocean) (2016) |
| Broadcast media: | 2 publicly owned TV stations, Television Malta broadcasting nationally plus an educational channel; several privately owned national television stations, 2 of which are owned by political parties; Italian and British broadcast programs are available; multi-channel cable and satellite TV services are available; publicly owned radio broadcaster operates 3 stations; roughly 20 commercial radio stations (2017) |
| Internet country code: | .mt |
| Internet users: | total: 320,902 |
| Internet users: | percent of population: 77.3% (July 2016 est.) |
