| Communications | Switzerland |
| --- | --- |
| Telephones - main lines in use: | 4.82 million (2008) |
| Telephones - mobile cellular: | 8.78 million (2008) |
| Telephone system: | general assessment: highly developed telecommunications infrastructure with excellent domestic and international services |
| Telephone system: | domestic: ranked among leading countries for fixed-line teledensity and infrastructure; mobile-cellular subscribership roughly 115 per 100 persons; extensive cable and microwave radio relay networks |
| Telephone system: | international: country code - 41; satellite earth stations - 2 Intelsat (Atlantic Ocean and Indian Ocean) |
| Radio broadcast stations: | AM 3, FM 106 (plus many low-power stations), shortwave 3 (2008) |
| Television broadcast stations: | 106 (2007) |
| Internet country code: | .ch |
| Internet hosts: | 3.697 million (2009) |
| Internet users: | 5.739 million (2008) |
