| Communications | Aruba |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 35,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 31 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 141,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (July 2016 est.) |
| Telephone system: | general assessment: modern fully automatic telecommunications system; increased competition through privatization has increased mobile-cellular teledensity; three mobile-cellular service providers are now licensed; MNO (mobile network operator) launched island-wide LTE services; MNP (mobile number portability) introduced (2018) |
| Telephone system: | domestic: ongoing changes in regulations and competitionÂ improving teledensity;Â 31 per 100 fixed-line, 126 per 100 mobile-cellular (2018) |
| Telephone system: | international: country code - 297; landingÂ points for the PAN-AM, PCCS, Deep Blue Cable, and Alonso de OjedaÂ submarine telecommunications cable system that extends from Trinidad and Tobago, Florida,Â Puerto Ricco,Â Jamaica, Guyana, Sint Eustatius & Saba, Suriname, Dominican Republic, BVI, USVI, Haiti, Cayman Islands, the Netherlands Antilles,Â  through Aruba to Panama, Venezuela, Colombia, Ecuador, Peru and Chile; extensive interisland microwave radio relay links (2019) |
| Broadcast media: | 2 commercial TV stations; cable TV subscription service provides access to foreign channels; about 19 commercial radio stations broadcast (2017) |
| Internet country code: | .aw |
| Internet users: | total: 106,309 |
| Internet users: | percent of population: 93.5% (July 2016 est.) |
