| Communications | Hong Kong |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,266,837 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 59 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 18,340,347 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 255 (2017 est.) |
| Telephone system: | general assessment: modern facilities provide excellent domestic and international services; some of the highest peak average broadband speeds in the world; HK will be the earliest adopters of 5G mobile technology in 2020; almost all households have access to high-speed broadband connectivity; in the next five years the governmentÂ has organizedÂ the development ofÂ 'smart cities' in six areasÂ -Â "smart mobility", "smart living", and "smart envirnoment"Â by 2022 (2017) |
| Telephone system: | domestic: microwave radio relay links and extensive fiber-optic network; fixed-line is 59 per 100 and mobile-cellular is 255 per 100 (2017) |
| Telephone system: | international: country code - 852; multiple international submarine cables provide connections to Asia, US, Australia, the Middle East, and Western Europe; satellite earth stations - 3 Intelsat (1 Pacific Ocean and 2 Indian Ocean); coaxial cable to Guangzhou, China (2015) |
| Broadcast media: | 4 commercial terrestrial TV networks each with multiple stations; multi-channel satellite and cable TV systems available; 3 licensed broadcasters of terrestrial radio, one of which is government funded, operate about 12 radio stations; note - 4 digital radio broadcasters operated in Hong Kong from 2010 to 2017, but all digital radio services were terminated in September 2017 due to weak market demand (2018) |
| Internet country code: | .hk |
| Internet users: | total: 6.066 million (July 2016 est.) |
| Internet users: | percent of population: 85% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 2,645,752 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 37 (2017 est.) |
