| Communications | Cote d'Ivoire |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 305,562 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 31,747,233 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 131 (2017 est.) |
| Telephone system: | general assessment: well-developed by African standards; telecommunications sector privatized in late 1990s and operational fixed lines have increased since that time with 2 fixed-line providers operating over open-wire lines, microwave radio relay, and fiber-optics; 90% digitalized; CÃ´te d'Ivoire continues to benefit from strong economic growth; the fixed internet and broadband sectors have remained lagging (2017) |
| Telephone system: | domestic: less than 1 per 100 fixed-line, with multiple mobile-cellular service providers competing in the market, usage has increased sharply to aboutÂ 131 per 100 persons (2017) |
| Telephone system: | international: country code - 225; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) (2016) |
| Broadcast media: | 2 state-owned TV stations; no private terrestrial TV stations, but satellite TV subscription service is available; 2 state-owned radio stations; some private radio stations; transmissions of several international broadcasters are available (2007) |
| Internet country code: | .ci |
| Internet users: | total: 6,297,676 (July 2016 est.) |
| Internet users: | percent of population: 26.5% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 142,825 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2017 est.) |
