| Communications | Dominican Republic |
| --- | --- |
| Telephones - main lines in use: | 1.065 million (2012) |
| Telephones - mobile cellular: | 9.038 million (2012) |
| Telephone system: | general assessment: relatively efficient system based on island-wide microwave radio relay network |
| Telephone system: | domestic: fixed-line teledensity is about 10 per 100 persons; multiple providers of mobile-cellular service with a subscribership of nearly 90 per 100 persons |
| Telephone system: | international: country code - 1-809; landing point for the Americas Region Caribbean Ring System (ARCOS-1), Antillas 1, and the Fibralink submarine cables that provide links to South and Central America, parts of the Caribbean, and US; satellite earth station - 1 Intelsat (Atlantic Ocean) (2011) |
| Broadcast media: | combination of state-owned and privately owned broadcast media; 1 state-owned TV network and a number of private TV networks; networks operate repeaters to extend signals throughout country; combination of state-owned and privately owned radio stations with more than 300 radio stations operating (2007) |
| Internet country code: | .do |
| Internet hosts: | 404,500 (2012) |
| Internet users: | 2.701 million (2009) |
