| Communications | Cape Verde |
| --- | --- |
| Telephones - main lines in use: | 72,000 (2010) |
| Telephones - mobile cellular: | 371,900 (2010) |
| Telephone system: | general assessment: effective system, extensive modernization from 1996-2000 following partial privatization in 1995 |
| Telephone system: | domestic: major service provider is Cabo Verde Telecom (CVT); fiber-optic ring, completed in 2001, links all islands providing Internet access and ISDN services; cellular service introduced in 1998; broadband services launched in 2004 |
| Telephone system: | international: country code - 238; landing point for the Atlantis-2 fiber-optic transatlantic telephone cable that provides links to South America, Senegal, and Europe; HF radiotelephone to Senegal and Guinea-Bissau; satellite earth station - 1 Intelsat (Atlantic Ocean) (2007) |
| Broadcast media: | state-run TV and radio broadcast network plus a growing number of private broadcasters; Portuguese public TV and radio services for Africa are available; transmissions of a few international broadcasters are obtainable (2007) |
| Internet country code: | .cv |
| Internet hosts: | 26 (2010) |
| Internet users: | 150,000 (2009) |
