| Communications | Cabo Verde |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 64,970 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 612,259 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 109 (2017 est.) |
| Telephone system: | general assessment: goodÂ system, extensive modernization from 1996-2000 following partial privatization in 1995; major service provider is Cabo Verde Telecom (CVT) (2018) |
| Telephone system: | domestic: 12 per 100 fixed-line and 109 per 100 mobile-cellular; fiber-optic ring, completed in 2001, links all islands providing Internet access and ISDN services; cellular service introduced in 1998; broadband services launched early in the decade; moving to 4G in mid-2019 (2018) |
| Telephone system: | international: country code - 238; landing points for the Atlantis-2, EllaLink, CaboÂ Verde Telecom Domestic Submarine Cable Phase 1,Â 2, 3 and WACS fiber-optic transatlantic telephone cable that provides links to South America, Africa, and Europe; HF radiotelephone to Senegal and Guinea-Bissau; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | state-run TV and radio broadcast network plus a growing number of private broadcasters; Portuguese public TV and radio services for Africa are available; transmissions of a few international broadcasters are available (2019) |
| Internet country code: | .cv |
| Internet users: | total: 266,562 |
| Internet users: | percent of population: 48.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 14,493 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2017 est.) |
