| Communications | Cabo Verde |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 60,233 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 10.46 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 623,749 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 108.32 (2019 est.) |
| Telecommunication systems: | general assessment: LTE reaches almost 40% of the population; regulator awards commercial 4G licenses and starts 5G pilot; govt. extends USD 25 million for submarine fiber-optic cable projectÂ linking Africa to Portugal and Brazil;Â major service provider is Cabo Verde Telecom (CVT) (2020) |
| Telecommunication systems: | domestic: 11 per 100 fixed-line and 108 per 100 mobile-cellular; fiber-optic ring, completed in 2001, links all islands providing Internet access and ISDN services; cellular service introduced in 1998; broadband services launched early in the decade (2019) |
| Telecommunication systems: | international: country code - 238; landing points for the Atlantis-2, EllaLink, CaboÂ Verde Telecom Domestic Submarine Cable Phase 1,Â 2, 3 and WACS fiber-optic transatlantic telephone cable that provides links to South America, Africa, and Europe; HF radiotelephone to Senegal and Guinea-Bissau; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-run TV and radio broadcast network plus a growing number of private broadcasters; Portuguese public TV and radio services for Africa are available; transmissions of a few international broadcasters are available (2019) |
| Internet country code: | .cv |
| Internet users: | total: 330,623 |
| Internet users: | percent of population: 58.17% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 15,657 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2018 est.) |
