| Communications | Cabo Verde |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 64,970 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 612,259 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 109 (2017 est.) |
| Telephone system: | general assessment: goodÂ system, extensive modernization from 1996-2000 following partial privatization in 1995; major service provider is Cabo Verde Telecom (CVT) (2017) |
| Telephone system: | domestic: 12 per 100 fixed-line and 109 per 100 mobile-cellular; fiber-optic ring, completed in 2001, links all islands providing Internet access and ISDN services; cellular service introduced in 1998; broadband services launched early in the decade (2017) |
| Telephone system: | international: country code - 238; landing point for the Atlantis-2 fiber-optic transatlantic telephone cable that provides links to South America, Senegal, and Europe; HF radiotelephone to Senegal and Guinea-Bissau; satellite earth station - 1 Intelsat (Atlantic Ocean); new agreement between CVT and private company and subsea fibre connectivityÂ in 2020 willÂ promoteÂ growth in Internet, cloud computing and 5G services to the region, reaching Europe and Latin America (2017) |
| Broadcast media: | state-run TV and radio broadcast network plus a growing number of private broadcasters; Portuguese public TV and radio services for Africa are available; transmissions of a few international broadcasters are available (2007) |
| Internet country code: | .cv |
| Internet users: | total: 266,562 (July 2016 est.) |
| Internet users: | percent of population: 48.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 14,493 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2017 est.) |
