| Communications | Malta |
| --- | --- |
| Telephones - main lines in use: | 252,700 (2009) |
| Telephones - mobile cellular: | 422,100 (2009) |
| Telephone system: | general assessment: automatic system featuring submarine cable and microwave radio relay between islands |
| Telephone system: | domestic: combined fixed-line and mobile-cellular subscribership exceeds 165 per 100 persons |
| Telephone system: | international: country code - 356; submarine cable connects to Italy; satellite earth station - 1 Intelsat (Atlantic Ocean) (2008) |
| Broadcast media: | 1 publicly-owned television station, Television Malta (TVM); several national television stations, two of which are owned by political parties; Italian and British broadcast programs are available; multi-channel cable and satellite TV services are obtainable; publicly-owned radio broadcaster operates 2 stations; roughly 50 commercial radio stations functioning (2008) |
| Internet country code: | .mt |
| Internet hosts: | 24,941 (2010) |
| Internet users: | 240,600 (2009) |
