| Communications | MALTA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 230,226 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 56 (July 2015 est.) |
| Telephones - mobile cellular: | total: 558,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 135 (July 2015 est.) |
| Telephone system: | general assessment: automatic system featuring submarine cable and microwave radio relay between islands |
| Telephone system: | domestic: combined fixed-line and mobile-cellular subscribership exceeds 190 per 100 persons |
| Telephone system: | international: country code - 356; submarine cable connects to Italy; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | 2 publicly owned TV stations, Television Malta broadcasting nationally plus an educational channel; several privately owned national television stations, two of which are owned by political parties; Italian and British broadcast programs are available; multi-channel cable and satellite TV services are available; publicly owned radio broadcaster operates 3 stations; roughly 20 commercial radio stations (2016) |
| Internet country code: | .mt |
| Internet users: | total: 315,000 |
| Internet users: | percent of population: 76.2% (July 2015 est.) |
