| Communications | Uzbekistan |
| --- | --- |
| Telephones - main lines in use: | 1.85 million (2008) |
| Telephones - mobile cellular: | 12.734 million (2008) |
| Telephone system: | general assessment: antiquated and inadequate; in serious need of modernization |
| Telephone system: | domestic: the main line telecommunications system is dilapidated and telephone density is low; the state-owned telecommunications company, Uzbektelecom, is using loans from the Japanese government and the China Development Bank to improve mainline services; completion of conversion to digital exchanges planned for 2010; mobile services are growing rapidly, with the subscriber base reaching 12.7 million in 2008 |
| Telephone system: | international: country code - 998; linked by fiber-optic cable or microwave radio relay with CIS member states and to other countries by leased connection via the Moscow international gateway switch; after the completion of the Uzbek link to the Trans-Asia-Europe (TAE) fiber-optic cable, Uzbekistan plans to establish a fiber-optic connection to Afghanistan (2008) |
| Radio broadcast stations: | AM 4, FM 12, shortwave 3 (2008) |
| Television broadcast stations: | 28 (includes 1 cable rebroadcaster in Tashkent and approximately 20 stations in regional capitals) (2006) |
| Internet country code: | .uz |
| Internet hosts: | 50,228 (2009) |
| Internet users: | 2.469 million (2008) |
