| Communications | UZBEKISTAN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,507,711 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 9 (July 2015 est.) |
| Telephones - mobile cellular: | total: 21.783 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 75 (July 2015 est.) |
| Telephone system: | general assessment: digital exchanges in large cities and in rural areas |
| Telephone system: | domestic: the state-owned telecommunications company, Uzbektelecom, owner of the fixed-line telecommunications system, has used loans from the Japanese government and the China Development Bank to upgrade fixed-line services including conversion to digital exchanges; mobile-cellular services are provided by 3 private and 1 state-owned operator with a total subscriber base of 22 million as of mid 2015 |
| Telephone system: | international: country code - 998; linked by fiber-optic cable or microwave radio relay with CIS member states and to other countries by leased connection via the Moscow international gateway switch; the country also has a link to the Trans-Asia-Europe (TAE) fiber-optic cable; Uzbekistan has supported the national fiber- optic backbone project of Afghanistan since 2008 (2015) |
| Broadcast media: | government controls media; 14 state-owned broadcasters - 10 TV and 4 radio - provide service to virtually the entire country; about 20 privately owned TV stations, overseen by local officials, broadcast to local markets; privately owned TV stations are required to lease transmitters from the government-owned Republic TV and Radio Industry Corporation; in 2013, the government closed TV and radio broadcasters affiliated with the National Association of Electronic Mass Media of Uzbekistan, a government-sponsored NGO for private broadcast media |
| Internet country code: | .uz |
| Internet users: | total: 12.498 million |
| Internet users: | percent of population: 42.8% (July 2015 est.) |
