| Communications | Uzbekistan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,262,896 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 10.77 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 30,662,740 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 101.21 (2019 est.) |
| Telecommunication systems: | general assessment: digital exchanges in large cities and in rural areas; increased investment in infrastructure and growing subscriber base; fixed-line is underdeveloped due to preeminence of mobile market; introduction of prepaid Internet has contributed to home Internet usage;Â increase in mobile broadband penetration yet still early stages; Wi-Fi hotspot in the city of Tashkent in the future (2020) |
| Telecommunication systems: | domestic: fixed-line 11 per 100 person and mobile-cellular 101 per 100; the state-owned telecommunications company, Uzbek Telecom, owner of the fixed-line telecommunications system, has used loans from the Japanese government and the China Development Bank to upgrade fixed-line services including conversion to digital exchanges; mobile-cellular services are provided by 2 private and 3 state-owned operators with a total subscriber base of 22.8 million as of January 2018 (2019) |
| Telecommunication systems: | international: country code - 998; linked by fiber-optic cable or microwave radio relay with CIS member states and to other countries by leased connection via the Moscow international gateway switch; the country also has a link to the Trans-Asia-Europe (TAE) fiber-optic cable; Uzbekistan has supported the national fiber-optic backbone project of Afghanistan since 2008 |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | the government controls media; 17 state-owned broadcasters - 13 TV and 4 radio - provide service to virtually the entire country; about 20 privately owned TV stations, overseen by local officials, broadcast to local markets; privately owned TV stations are required to lease transmitters from the government-owned Republic TV and Radio Industry Corporation; in 2019, the Uzbek Agency for Press and Information was reorganized into the Agency of Information and Mass Communications and became part of the Uzbek Presidential Administration with recent appointment of the Uzbek President'sÂ elder daughter as it deputy director (2019) |
| Internet country code: | .uz |
| Internet users: | total: 15,705,402 |
| Internet users: | percent of population: 52.31% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 4,123,508 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 14 (2018 est.) |
