| Communications | Uzbekistan |
| --- | --- |
| Telephones - main lines in use: | 1.98 million (1999) |
| Telephones - mobile cellular: | 130,000 (2003) |
| Telephone system: | general assessment: antiquated and inadequate; in serious need of modernization |
| Telephone system: | domestic: the domestic telephone system is being expanded and technologically improved, particularly in Tashkent and Samarqand, under contracts with prominent companies in industrialized countries; moreover, by 1998, six cellular networks had been placed in operation - four of the GSM type (Global System for Mobile Communication), one D-AMPS type (Digital Advanced Mobile Phone System), and one AMPS type (Advanced Mobile Phone System) |
| Telephone system: | international: linked by landline or microwave radio relay with CIS member states and to other countries by leased connection via the Moscow international gateway switch; after the completion of the Uzbek link to the Trans-Asia-Europe (TAE) fiber-optic cable, Uzbekistan will be independent of Russian facilities for international communications; Inmarsat also provides an international connection, albeit an expensive one; satellite earth stations - NA (1998) |
| Radio broadcast stations: | AM 20, FM 7, shortwave 10 (1998) |
| Radios: | 10.8 million (1997) |
| Television broadcast stations: | 4 (plus two repeaters that relay Russian programs), 1 cable rebroadcaster in Tashkent; approximately 20 stations in regional capitals (2003) |
| Televisions: | 6.4 million (1997) |
| Internet country code: | .uz |
| Internet Service Providers (ISPs): | 42 (2000) |
| Internet users: | 100,000 (2002) |
