| Communications | West Bank |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 472,293 (includes Gaza Strip) (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 17 (includes Gaza Strip) (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 4,135,363 (includes Gaza Strip) (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 150 (includes Gaza Strip) (2017 est.) |
| Telephone system: | general assessment: continuing political and economic instability has impeded liberalization of the telecommunications industry (2018) |
| Telephone system: | domestic: Israeli company BEZEK and the Palestinian company PALTEL are responsible for fixed-line services; two Palestinian cellular providers, JAWWAL and WATANIYA MOBILE, launched 3G mobile networks in the West Bank in January 2018 after Israel lifted its ban (2018) |
| Telephone system: | international: country code - 970; 1 international switch in Ramallah (2018) |
| Broadcast media: | the Palestinian Authority operates 1 TV and 1 radio station; about 20 private TV and 40 radio stations; both Jordanian TV and satellite TV are accessible (2013) |
| Internet country code: | .psnote - same as Gaza Strip |
| Internet users: | total: 2.673 million (includes Gaza Strip) (July 2016 est.) |
| Internet users: | percent of population: 57.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 371,299 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 14 (2017 est.) |
| Broadband - fixed subscriptions: | note: includes Gaza Strip |
