| Communications | Falkland Islands (Islas Malvinas) |
| --- | --- |
| Telephones - main lines in use: | 2,400 (2002) |
| Telephones - mobile cellular: | 0 (2001) |
| Telephone system: | general assessment: NA |
| Telephone system: | domestic: government-operated radiotelephone and private VHF/CB radiotelephone networks provide effective service to almost all points on both islands |
| Telephone system: | international: country code - 500; satellite earth station - 1 Intelsat (Atlantic Ocean) with links through London to other countries |
| Radio broadcast stations: | AM 1, FM 7, shortwave 0 (British Forces Broadcasting Service (BFBS) provides Radio 1 and Radio 2 service) (2006) |
| Radios: | 1,000 (1997) |
| Television broadcast stations: | 2 (British Forces Broadcasting Service (BFBS) provides multi-channel satellite service to members of UK Forces as well as islanders); cable television is available in Stanley (2006) |
| Televisions: | 1,000 (1997) |
| Internet country code: | .fk |
| Internet hosts: | 104 (2007) |
| Internet Service Providers (ISPs): | 2 (2000) |
| Internet users: | 1,900 (2002) |
