| Communications | Indonesia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 11,172,021 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 458,923,202 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 176 (2017 est.) |
| Telephone system: | general assessment: domestic service includes an interisland microwave system, an HF radio police net, and a domestic satellite communications system; international service good;Indonesia has very low fixed line and fixed broadband penetration, high mobile penetration and moderate mobile broadband penetration (2017) |
| Telephone system: | domestic: fixed-line 4 per 100 and mobile-cellular 175 per 100 subscriptions; coverage provided by existing network has been expanded by use of over 200,000 telephone kiosks many located in remote areas; mobile-cellular subscribership growing rapidly (2017) |
| Telephone system: | international: country code - 62; landing point for both the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cable networks that provide links throughout Asia, the Middle East, and Europe; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Pacific Ocean) (2015) |
| Broadcast media: | mixture of about a dozen national TV networks - 2 public broadcasters, the remainder private broadcasters - each with multiple transmitters; more than 100 local TV stations; widespread use of satellite and cable TV systems; public radio broadcaster operates 6 national networks, as well as regional and local stations; overall, more than 700 radio stations with more than 650 privately operated (2008) |
| Internet country code: | .id |
| Internet users: | total: 65,525,226 (July 2016 est.) |
| Internet users: | percent of population: 25.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 6,044,712 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 2 (2017 est.) |
