| Communications | Indonesia |
| --- | --- |
| Telephones - main lines in use: | 38.618 million (2011) |
| Telephones - mobile cellular: | 249.8 million (2011) |
| Telephone system: | general assessment: domestic service includes an interisland microwave system, an HF radio police net, and a domestic satellite communications system; international service good |
| Telephone system: | domestic: coverage provided by existing network has been expanded by use of over 200,000 telephone kiosks many located in remote areas; mobile-cellular subscribership growing rapidly |
| Telephone system: | international: country code - 62; landing point for both the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cable networks that provide links throughout Asia, the Middle East, and Europe; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Pacific Ocean) |
| Broadcast media: | mixture of about a dozen national TV networks - 2 public broadcasters, the remainder private broadcasters - each with multiple transmitters; more than 100 local TV stations; widespread use of satellite and cable TV systems; public radio broadcaster operates 6 national networks as well as regional and local stations; overall, more than 700 radio stations with more than 650 privately-operated (2008) |
| Internet country code: | .id |
| Internet hosts: | 1.344 million (2012) |
| Internet users: | 20 million (2009) |
