| Communications | Equatorial Guinea |
| --- | --- |
| Telephones - main lines in use: | 13,500 (2010) |
| Telephones - mobile cellular: | 426,000 (2011) |
| Telephone system: | general assessment: digital fixed-line network in most major urban areas and good mobile coverage |
| Telephone system: | domestic: fixed-line density is about 2 per 100 persons; mobile-cellular subscribership has been increasing and in 2011 stood at about 60 percent of the population |
| Telephone system: | international: country code - 240; international communications from Bata and Malabo to African and European countries; satellite earth station - 1 Intelsat (Indian Ocean) (2011) |
| Broadcast media: | state maintains control of broadcast media with domestic broadcast media limited to 1 state-owned TV station, 1 state-owned radio station, and 1 private radio station owned by the president's eldest son; satellite TV service is available; transmissions of multiple international broadcasters are accessible (2007) |
| Internet country code: | .gq |
| Internet hosts: | 7 (2012) |
| Internet users: | 14,400 (2009) |
